feature,importance
p95,0.04837691368007656
std,0.04814492549915014
miss_count,0.04590813389243244
miss_spatial_std,0.04553557235418371
hist_27,0.04535923861416166
hist_31,0.03986909306967835
hist_20,0.039643195803331664
mean,0.03814287706374561
hist_16,0.03795724374212246
miss_ratio,0.03781184268092764
hist_22,0.0377065707980285
hist_26,0.03701675707490067
hist_18,0.03469334311938844
hist_21,0.03147257662844972
hist_6,0.03102999872687999
hist_33,0.029153027695904034
hist_19,0.028772298367290675
miss_spatial_mean,0.028518468681668508
hist_15,0.02802531457475512
hist_25,0.025217739330678692
hist_32,0.024413211080968424
hist_28,0.02359589475073355
entropy,0.023364399524441803
max,0.022723449707482107
hist_24,0.017751370322504113
hist_4,0.01647786555227889
hist_30,0.01562205178268941
hist_29,0.015004046447683408
hist_17,0.014893097487167606
hist_1,0.014157188832194254
hist_23,0.012016807725682248
hist_5,0.011968793917653972
min,0.010444809483906425
hist_34,0.010364868873118745
p5,0.007269264182867906
hist_35,0.004537900887520135
hist_2,0.00420593301424928
p75,0.003529282476853397
hist_14,0.0032846985475799614
hist_3,0.001271357664072176
hist_38,0.0012272298295948189
hist_36,0.001203188938377377
hist_37,0.0012018641970044164
hist_39,0.00033603978709302704
hist_41,0.0002828365617614673
hist_40,0.00014380606230938322
hist_12,0.00010346375816762545
hist_42,9.624623613541248e-05
p25,7.194487124818293e-05
hist_7,4.992214930621993e-05
hist_11,3.2033949599758035e-05
hist_8,0.0
median,0.0
hist_0,0.0
hist_10,0.0
hist_9,0.0
hist_13,0.0
hist_43,0.0
hist_44,0.0
hist_45,0.0
hist_48,0.0
hist_47,0.0
hist_46,0.0
hist_49,0.0
