resolver,outcome,domain,cache_state,query_time_ns,response_rcode,ad_flag,timestamp,error
bind,nsec3,nonexistent.test-nsec3.example,cold,1519700,3,True,1788708306.8708742,
bind,nsec3,nonexistent.test-nsec3.example,cold,1903800,3,True,1788708306.8708742,
bind,nsec3,nonexistent.test-nsec3.example,cold,1887000,3,True,1788708306.8748236,
bind,nsec3,nonexistent.test-nsec3.example,cold,1952100,3,True,1788708306.8748236,
bind,nsec3,nonexistent.test-nsec3.example,cold,1845000,3,True,1788708306.8784997,
bind,nsec3,nonexistent.test-nsec3.example,cold,2647800,3,True,1788708306.8806212,
bind,nsec3,nonexistent.test-nsec3.example,cold,2422400,3,True,1788708306.8830733,
bind,nsec3,nonexistent.test-nsec3.example,cold,1805600,3,True,1788708306.8857858,
bind,nsec3,nonexistent.test-nsec3.example,cold,1839600,3,True,1788708306.8878758,
bind,nsec3,nonexistent.test-nsec3.example,cold,2239400,3,True,1788708306.8898513,
bind,nsec3,nonexistent.test-nsec3.example,cold,1565600,3,True,1788708306.8914926,
bind,nsec3,nonexistent.test-nsec3.example,cold,1612800,3,True,1788708306.8935823,
bind,nsec3,nonexistent.test-nsec3.example,cold,1554200,3,True,1788708306.895257,
bind,nsec3,nonexistent.test-nsec3.example,cold,1534100,3,True,1788708306.89682,
bind,nsec3,nonexistent.test-nsec3.example,cold,1512000,3,True,1788708306.8983772,
bind,nsec3,nonexistent.test-nsec3.example,cold,1396400,3,True,1788708306.8994215,
bind,nsec3,nonexistent.test-nsec3.example,cold,1519000,3,True,1788708306.9010465,
bind,nsec3,nonexistent.test-nsec3.example,cold,1473900,3,True,1788708306.9025893,
bind,nsec3,nonexistent.test-nsec3.example,cold,1428600,3,True,1788708306.904158,
bind,nsec3,nonexistent.test-nsec3.example,cold,1481300,3,True,1788708306.905706,
bind,nsec3,nonexistent.test-nsec3.example,cold,1457300,3,True,1788708306.9072623,
bind,nsec3,nonexistent.test-nsec3.example,cold,1508700,3,True,1788708306.9088256,
bind,nsec3,nonexistent.test-nsec3.example,cold,1693200,3,True,1788708306.9107122,
bind,nsec3,nonexistent.test-nsec3.example,cold,1748900,3,True,1788708306.912821,
bind,nsec3,nonexistent.test-nsec3.example,cold,1690900,3,True,1788708306.914452,
bind,nsec3,nonexistent.test-nsec3.example,cold,1610700,3,True,1788708306.916108,
bind,nsec3,nonexistent.test-nsec3.example,cold,1590500,3,True,1788708306.9177823,
bind,nsec3,nonexistent.test-nsec3.example,cold,1466500,3,True,1788708306.9193616,
bind,nsec3,nonexistent.test-nsec3.example,cold,1455100,3,True,1788708306.9209404,
bind,nsec3,nonexistent.test-nsec3.example,cold,1516100,3,True,1788708306.9225183,
bind,nsec3,nonexistent.test-nsec3.example,cold,1404600,3,True,1788708306.9240818,
bind,nsec3,nonexistent.test-nsec3.example,cold,1726600,3,True,1788708306.925496,
bind,nsec3,nonexistent.test-nsec3.example,cold,1414000,3,True,1788708306.927061,
bind,nsec3,nonexistent.test-nsec3.example,cold,1561100,3,True,1788708306.9286258,
bind,nsec3,nonexistent.test-nsec3.example,cold,1489700,3,True,1788708306.9301925,
bind,nsec3,nonexistent.test-nsec3.example,cold,1393900,3,True,1788708306.9317653,
bind,nsec3,nonexistent.test-nsec3.example,cold,1575500,3,True,1788708306.9333842,
bind,nsec3,nonexistent.test-nsec3.example,cold,1659600,3,True,1788708306.9349778,
bind,nsec3,nonexistent.test-nsec3.example,cold,1532400,3,True,1788708306.9365585,
bind,nsec3,nonexistent.test-nsec3.example,cold,1401800,3,True,1788708306.9381409,
bind,nsec3,nonexistent.test-nsec3.example,cold,1609700,3,True,1788708306.9397135,
bind,nsec3,nonexistent.test-nsec3.example,cold,1891500,3,True,1788708306.9417198,
bind,nsec3,nonexistent.test-nsec3.example,cold,1824300,3,True,1788708306.943893,
bind,nsec3,nonexistent.test-nsec3.example,cold,1836600,3,True,1788708306.9455366,
bind,nsec3,nonexistent.test-nsec3.example,cold,1790900,3,True,1788708306.947697,
bind,nsec3,nonexistent.test-nsec3.example,cold,1770600,3,True,1788708306.949295,
bind,nsec3,nonexistent.test-nsec3.example,cold,1587400,3,True,1788708306.9509044,
bind,nsec3,nonexistent.test-nsec3.example,cold,1506700,3,True,1788708306.9525125,
bind,nsec3,nonexistent.test-nsec3.example,cold,1672700,3,True,1788708306.9542243,
bind,nsec3,nonexistent.test-nsec3.example,cold,2756800,3,True,1788708306.957359,
bind,nsec3,nonexistent.test-nsec3.example,cold,2213800,3,True,1788708306.9597461,
bind,nsec3,nonexistent.test-nsec3.example,cold,1757700,3,True,1788708306.9614415,
bind,nsec3,nonexistent.test-nsec3.example,cold,1837500,3,True,1788708306.9636116,
bind,nsec3,nonexistent.test-nsec3.example,cold,1738500,3,True,1788708306.9652402,
bind,nsec3,nonexistent.test-nsec3.example,cold,1970800,3,True,1788708306.967526,
bind,nsec3,nonexistent.test-nsec3.example,cold,2510800,3,True,1788708306.9696617,
bind,nsec3,nonexistent.test-nsec3.example,cold,2658200,3,True,1788708306.9727209,
bind,nsec3,nonexistent.test-nsec3.example,cold,2606300,3,True,1788708306.97563,
bind,nsec3,nonexistent.test-nsec3.example,cold,2309000,3,True,1788708306.9777293,
bind,nsec3,nonexistent.test-nsec3.example,cold,2295900,3,True,1788708306.9802372,
bind,nsec3,nonexistent.test-nsec3.example,cold,2685700,3,True,1788708306.9829981,
bind,nsec3,nonexistent.test-nsec3.example,cold,2849900,3,True,1788708306.9856176,
bind,nsec3,nonexistent.test-nsec3.example,cold,3907700,3,True,1788708306.9901288,
bind,nsec3,nonexistent.test-nsec3.example,cold,2813100,3,True,1788708306.9928281,
bind,nsec3,nonexistent.test-nsec3.example,cold,2504000,3,True,1788708306.9955084,
bind,nsec3,nonexistent.test-nsec3.example,cold,2597500,3,True,1788708306.9983108,
bind,nsec3,nonexistent.test-nsec3.example,cold,2809400,3,True,1788708307.0009964,
bind,nsec3,nonexistent.test-nsec3.example,cold,2682200,3,True,1788708307.0039864,
bind,nsec3,nonexistent.test-nsec3.example,cold,4723500,3,True,1788708307.0088778,
bind,nsec3,nonexistent.test-nsec3.example,cold,2685900,3,True,1788708307.0113683,
bind,nsec3,nonexistent.test-nsec3.example,cold,1874900,3,True,1788708307.013476,
bind,nsec3,nonexistent.test-nsec3.example,cold,2069100,3,True,1788708307.0156147,
bind,nsec3,nonexistent.test-nsec3.example,cold,2672400,3,True,1788708307.018154,
bind,nsec3,nonexistent.test-nsec3.example,cold,2697800,3,True,1788708307.0213556,
bind,nsec3,nonexistent.test-nsec3.example,cold,2697200,3,True,1788708307.023844,
bind,nsec3,nonexistent.test-nsec3.example,cold,2445500,3,True,1788708307.0263724,
bind,nsec3,nonexistent.test-nsec3.example,cold,2074700,3,True,1788708307.0289035,
bind,nsec3,nonexistent.test-nsec3.example,cold,2170000,3,True,1788708307.0311112,
