resolver,outcome,domain,cache_state,query_time_ns,response_rcode,ad_flag,timestamp,error
bind,unsigned,test.test-unsigned.example,cold,4238100,2,False,1788708455.9174705,
bind,unsigned,test.test-unsigned.example,cold,2931600,2,False,1788708455.920682,
bind,unsigned,test.test-unsigned.example,cold,2998200,2,False,1788708455.9238763,
bind,unsigned,test.test-unsigned.example,cold,3176200,2,False,1788708455.92711,
bind,unsigned,test.test-unsigned.example,cold,3116100,2,False,1788708455.92991,
bind,unsigned,test.test-unsigned.example,cold,2460700,2,False,1788708455.9325647,
bind,unsigned,test.test-unsigned.example,cold,2556200,2,False,1788708455.9352462,
bind,unsigned,test.test-unsigned.example,cold,2745400,2,False,1788708455.9379876,
bind,unsigned,test.test-unsigned.example,cold,2696200,2,False,1788708455.9411314,
bind,unsigned,test.test-unsigned.example,cold,2444400,2,False,1788708455.9435945,
bind,unsigned,test.test-unsigned.example,cold,2751400,2,False,1788708455.9462917,
bind,unsigned,test.test-unsigned.example,cold,2784100,2,False,1788708455.9493296,
bind,unsigned,test.test-unsigned.example,cold,2309100,2,False,1788708455.9519563,
bind,unsigned,test.test-unsigned.example,cold,2759100,2,False,1788708455.954603,
bind,unsigned,test.test-unsigned.example,cold,2380900,2,False,1788708455.9572256,
bind,unsigned,test.test-unsigned.example,cold,2358500,2,False,1788708455.959321,
bind,unsigned,test.test-unsigned.example,cold,3935000,2,False,1788708455.9634197,
bind,unsigned,test.test-unsigned.example,cold,3806100,2,False,1788708455.9676018,
bind,unsigned,test.test-unsigned.example,cold,2735100,2,False,1788708455.9702632,
bind,unsigned,test.test-unsigned.example,cold,2696100,2,False,1788708455.972972,
bind,unsigned,test.test-unsigned.example,cold,2691900,2,False,1788708455.9756525,
bind,unsigned,test.test-unsigned.example,cold,3266500,2,False,1788708455.9789736,
bind,unsigned,test.test-unsigned.example,cold,2973100,2,False,1788708455.9823773,
bind,unsigned,test.test-unsigned.example,cold,2265800,2,False,1788708455.9844708,
bind,unsigned,test.test-unsigned.example,cold,2220500,2,False,1788708455.9866176,
bind,unsigned,test.test-unsigned.example,cold,2381700,2,False,1788708455.9892461,
bind,unsigned,test.test-unsigned.example,cold,2277300,2,False,1788708455.9918866,
bind,unsigned,test.test-unsigned.example,cold,2519500,2,False,1788708455.99406,
bind,unsigned,test.test-unsigned.example,cold,3141100,2,False,1788708455.9973814,
bind,unsigned,test.test-unsigned.example,cold,2382500,2,False,1788708456.0001063,
bind,unsigned,test.test-unsigned.example,cold,365240900,2,False,1788708456.3652992,
bind,unsigned,test.test-unsigned.example,cold,6993300,2,False,1788708456.3725688,
bind,unsigned,test.test-unsigned.example,cold,7088300,2,False,1788708456.3797348,
bind,unsigned,test.test-unsigned.example,cold,6707100,2,False,1788708456.386864,
bind,unsigned,test.test-unsigned.example,cold,4417300,2,False,1788708456.3914275,
bind,unsigned,test.test-unsigned.example,cold,4696800,2,False,1788708456.3958764,
bind,unsigned,test.test-unsigned.example,cold,4006500,2,False,1788708456.4006674,
bind,unsigned,test.test-unsigned.example,cold,3124200,2,False,1788708456.4039006,
bind,unsigned,test.test-unsigned.example,cold,3235400,2,False,1788708456.4072604,
bind,unsigned,test.test-unsigned.example,cold,2874000,2,False,1788708456.409894,
bind,unsigned,test.test-unsigned.example,cold,3209900,2,False,1788708456.4133995,
bind,unsigned,test.test-unsigned.example,cold,2541500,2,False,1788708456.4160407,
bind,unsigned,test.test-unsigned.example,cold,2430400,2,False,1788708456.4182537,
bind,unsigned,test.test-unsigned.example,cold,2377800,2,False,1788708456.4208906,
bind,unsigned,test.test-unsigned.example,cold,2154400,2,False,1788708456.422981,
bind,unsigned,test.test-unsigned.example,cold,2467200,2,False,1788708456.4256136,
bind,unsigned,test.test-unsigned.example,cold,2561500,2,False,1788708456.4283454,
bind,unsigned,test.test-unsigned.example,cold,2869400,2,False,1788708456.4313948,
bind,unsigned,test.test-unsigned.example,cold,2490900,2,False,1788708456.4335501,
bind,unsigned,test.test-unsigned.example,cold,2423300,2,False,1788708456.4357085,
bind,unsigned,test.test-unsigned.example,cold,2365000,2,False,1788708456.4387898,
bind,unsigned,test.test-unsigned.example,cold,2505700,2,False,1788708456.441152,
bind,unsigned,test.test-unsigned.example,cold,2362500,2,False,1788708456.4438186,
bind,unsigned,test.test-unsigned.example,cold,5408600,2,False,1788708456.4490304,
bind,unsigned,test.test-unsigned.example,cold,2899500,2,False,1788708456.4521744,
bind,unsigned,test.test-unsigned.example,cold,2823200,2,False,1788708456.4553874,
bind,unsigned,test.test-unsigned.example,cold,2473400,2,False,1788708456.4574907,
bind,unsigned,test.test-unsigned.example,cold,2501700,2,False,1788708456.4602401,
bind,unsigned,test.test-unsigned.example,cold,3514500,2,False,1788708456.4641063,
bind,unsigned,test.test-unsigned.example,cold,2513400,2,False,1788708456.4662085,
bind,unsigned,test.test-unsigned.example,cold,2114300,2,False,1788708456.468825,
bind,unsigned,test.test-unsigned.example,cold,2277100,2,False,1788708456.4709587,
bind,unsigned,test.test-unsigned.example,cold,2454200,2,False,1788708456.4736295,
bind,unsigned,test.test-unsigned.example,cold,2453400,2,False,1788708456.47623,
bind,unsigned,test.test-unsigned.example,cold,5433500,2,False,1788708456.481765,
bind,unsigned,test.test-unsigned.example,cold,2844400,2,False,1788708456.484388,
bind,unsigned,test.test-unsigned.example,cold,2659500,2,False,1788708456.4870257,
