feature,importance
median,0.12787094588602488
p75,0.09277439429432363
p95,0.05574215101626213
p25,0.051378810409379506
miss_spatial_mean,0.05034559207927277
mean,0.04950715095004329
miss_spatial_std,0.04921178716824492
miss_count,0.045849580021440565
miss_ratio,0.04478677803792827
p5,0.042402967294714856
std,0.03077379920586467
hist_3,0.02374274915137207
max,0.02193806945611934
entropy,0.020437386211762006
hist_1,0.019937164758574117
hist_0,0.019640775875803106
hist_8,0.015523267859682362
hist_2,0.015444432159037512
hist_6,0.013765248950002213
hist_7,0.013727224570389655
hist_4,0.013723102108481497
hist_5,0.013513746516743655
hist_10,0.012304956311352255
hist_9,0.011517444484083974
hist_11,0.010702083987299119
hist_13,0.009596309201044933
hist_12,0.009491395385663372
hist_14,0.007482339526238018
hist_15,0.006873504084831933
hist_16,0.005811952300184495
hist_17,0.005632651808057931
hist_23,0.00433558820994827
hist_21,0.004166467834849135
hist_19,0.00412718371973337
hist_18,0.004107763115690056
hist_20,0.004015275280558473
hist_24,0.0038517115628971133
hist_31,0.0037083042360718404
hist_30,0.0036850038360710245
hist_27,0.0036343385017078224
hist_22,0.0035696766157976524
hist_25,0.0035025301011414756
hist_28,0.003486816664559704
hist_33,0.0033913268205180203
hist_29,0.003351378098137078
hist_26,0.0033369602993032323
hist_35,0.003212659404473407
hist_34,0.0030761303629719427
hist_32,0.0030050461842997724
hist_36,0.0024802148722478405
min,0.0024748548131765026
hist_38,0.002064821714920518
hist_37,0.0018328347641302523
hist_41,0.0017892530308999109
hist_39,0.0017276860010829174
hist_42,0.0015833625906976226
hist_40,0.001493879967004047
hist_43,0.001353540529002232
hist_44,0.001198273272979386
hist_48,0.0011868825416054827
hist_46,0.0010964618495544103
hist_45,0.0010402799150477974
hist_49,0.0009162530785792054
hist_47,0.0007474791401195117
