resolver,outcome,domain,cache_state,query_time_ns,response_rcode,ad_flag,timestamp,error
bind,bogus,test.test-bogus.example,cold,6512082,2,False,1788804125.1863048,
bind,bogus,test.test-bogus.example,cold,7438394,2,False,1788804125.193897,
bind,bogus,test.test-bogus.example,cold,6313857,2,False,1788804125.2003534,
bind,bogus,test.test-bogus.example,cold,7946059,2,False,1788804125.2085924,
bind,bogus,test.test-bogus.example,cold,6115169,2,False,1788804125.2148054,
bind,bogus,test.test-bogus.example,cold,6452842,2,False,1788804125.221382,
bind,bogus,test.test-bogus.example,cold,6438605,2,False,1788804125.2279387,
bind,bogus,test.test-bogus.example,cold,5840623,2,False,1788804125.233879,
bind,bogus,test.test-bogus.example,cold,6864649,2,False,1788804125.244509,
bind,bogus,test.test-bogus.example,cold,10690700,2,False,1788804125.2553415,
bind,bogus,test.test-bogus.example,cold,17014470,2,False,1788804125.272481,
bind,bogus,test.test-bogus.example,cold,9357031,2,False,1788804125.2819276,
bind,bogus,test.test-bogus.example,cold,11724773,2,False,1788804125.2937355,
bind,bogus,test.test-bogus.example,cold,7231460,2,False,1788804125.3010688,
bind,bogus,test.test-bogus.example,cold,11910566,2,False,1788804125.3131356,
bind,bogus,test.test-bogus.example,cold,8540715,2,False,1788804125.3218122,
bind,bogus,test.test-bogus.example,cold,7903864,2,False,1788804125.3298953,
bind,bogus,test.test-bogus.example,cold,5772682,2,False,1788804125.3357923,
bind,bogus,test.test-bogus.example,cold,6005589,2,False,1788804125.3419576,
bind,bogus,test.test-bogus.example,cold,9264275,2,False,1788804125.3514233,
bind,bogus,test.test-bogus.example,cold,7271486,2,False,1788804125.3588428,
bind,bogus,test.test-bogus.example,cold,7590801,2,False,1788804125.3665578,
bind,bogus,test.test-bogus.example,cold,6656633,2,False,1788804125.3734827,
bind,bogus,test.test-bogus.example,cold,7581663,2,False,1788804125.3811953,
bind,bogus,test.test-bogus.example,cold,5958497,2,False,1788804125.3872294,
bind,bogus,test.test-bogus.example,cold,10584584,2,False,1788804125.3979902,
bind,bogus,test.test-bogus.example,cold,7982037,2,False,1788804125.406096,
bind,bogus,test.test-bogus.example,cold,7125478,2,False,1788804125.4133277,
bind,bogus,test.test-bogus.example,cold,7261750,2,False,1788804125.4206924,
bind,bogus,test.test-bogus.example,cold,6637147,2,False,1788804125.4274526,
bind,bogus,test.test-bogus.example,cold,6614003,2,False,1788804125.4341745,
bind,bogus,test.test-bogus.example,cold,6939927,2,False,1788804125.441227,
bind,bogus,test.test-bogus.example,cold,5436260,2,False,1788804125.4468412,
bind,bogus,test.test-bogus.example,cold,6405510,2,False,1788804125.4534159,
bind,bogus,test.test-bogus.example,cold,7520883,2,False,1788804125.4612408,
bind,bogus,test.test-bogus.example,cold,7493442,2,False,1788804125.4688535,
bind,bogus,test.test-bogus.example,cold,6884054,2,False,1788804125.4758646,
bind,bogus,test.test-bogus.example,cold,6197658,2,False,1788804125.482164,
bind,bogus,test.test-bogus.example,cold,6717217,2,False,1788804125.4889889,
bind,bogus,test.test-bogus.example,cold,7063767,2,False,1788804125.4961627,
bind,bogus,test.test-bogus.example,cold,6837517,2,False,1788804125.5031,
bind,bogus,test.test-bogus.example,cold,4856803,2,False,1788804125.5080214,
bind,bogus,test.test-bogus.example,cold,8064520,2,False,1788804125.5161996,
bind,bogus,test.test-bogus.example,cold,7816941,2,False,1788804125.5241432,
bind,bogus,test.test-bogus.example,cold,7085513,2,False,1788804125.531339,
bind,bogus,test.test-bogus.example,cold,6391946,2,False,1788804125.5378406,
bind,bogus,test.test-bogus.example,cold,6070777,2,False,1788804125.5440238,
bind,bogus,test.test-bogus.example,cold,9966345,2,False,1788804125.5543003,
bind,bogus,test.test-bogus.example,cold,7196147,2,False,1788804125.5617454,
bind,bogus,test.test-bogus.example,cold,7141930,2,False,1788804125.569011,
bind,bogus,test.test-bogus.example,cold,6394336,2,False,1788804125.5755086,
bind,bogus,test.test-bogus.example,cold,6713291,2,False,1788804125.582316,
bind,bogus,test.test-bogus.example,cold,6558905,2,False,1788804125.589086,
bind,bogus,test.test-bogus.example,cold,6329693,2,False,1788804125.5955348,
bind,bogus,test.test-bogus.example,cold,10142962,2,False,1788804125.6058145,
bind,bogus,test.test-bogus.example,cold,6464101,2,False,1788804125.6123655,
bind,bogus,test.test-bogus.example,cold,6399662,2,False,1788804125.6188605,
