resolver,outcome,domain,cache_state,query_time_ns,response_rcode,ad_flag,timestamp,error
bind,unsigned,test.test-unsigned.example,cold,11641137,2,False,1788804172.9894211,
bind,unsigned,test.test-unsigned.example,cold,7565331,2,False,1788804172.9970872,
bind,unsigned,test.test-unsigned.example,cold,8221444,2,False,1788804173.0054045,
bind,unsigned,test.test-unsigned.example,cold,7178202,2,False,1788804173.0126574,
bind,unsigned,test.test-unsigned.example,cold,10904908,2,False,1788804173.0237973,
bind,unsigned,test.test-unsigned.example,cold,10914606,2,False,1788804173.0348814,
bind,unsigned,test.test-unsigned.example,cold,9902501,2,False,1788804173.0448806,
bind,unsigned,test.test-unsigned.example,cold,7371781,2,False,1788804173.0523796,
bind,unsigned,test.test-unsigned.example,cold,5839567,2,False,1788804173.058308,
bind,unsigned,test.test-unsigned.example,cold,5304260,2,False,1788804173.063765,
bind,unsigned,test.test-unsigned.example,cold,6238435,2,False,1788804173.070074,
bind,unsigned,test.test-unsigned.example,cold,13216818,2,False,1788804173.0833976,
bind,unsigned,test.test-unsigned.example,cold,5642903,2,False,1788804173.089152,
bind,unsigned,test.test-unsigned.example,cold,6162064,2,False,1788804173.0954208,
bind,unsigned,test.test-unsigned.example,cold,6040102,2,False,1788804173.1015813,
bind,unsigned,test.test-unsigned.example,cold,4751011,2,False,1788804173.1064205,
bind,unsigned,test.test-unsigned.example,cold,8868076,2,False,1788804173.1153922,
bind,unsigned,test.test-unsigned.example,cold,5099855,2,False,1788804173.1205933,
bind,unsigned,test.test-unsigned.example,cold,5169126,2,False,1788804173.1258345,
bind,unsigned,test.test-unsigned.example,cold,8632230,2,False,1788804173.1345742,
bind,unsigned,test.test-unsigned.example,cold,5864077,2,False,1788804173.140575,
bind,unsigned,test.test-unsigned.example,cold,7737223,2,False,1788804173.1484222,
bind,unsigned,test.test-unsigned.example,cold,6216905,2,False,1788804173.1547565,
bind,unsigned,test.test-unsigned.example,cold,8181094,2,False,1788804173.1630464,
bind,unsigned,test.test-unsigned.example,cold,9412499,2,False,1788804173.1726139,
bind,unsigned,test.test-unsigned.example,cold,5936318,2,False,1788804173.1788275,
bind,unsigned,test.test-unsigned.example,cold,8486112,2,False,1788804173.1874564,
bind,unsigned,test.test-unsigned.example,cold,5529494,2,False,1788804173.1930969,
bind,unsigned,test.test-unsigned.example,cold,6043938,2,False,1788804173.1992452,
bind,unsigned,test.test-unsigned.example,cold,7002535,2,False,1788804173.2063603,
bind,unsigned,test.test-unsigned.example,cold,5281622,2,False,1788804173.2117603,
bind,unsigned,test.test-unsigned.example,cold,5141189,2,False,1788804173.2169945,
bind,unsigned,test.test-unsigned.example,cold,6622843,2,False,1788804173.2236977,
bind,unsigned,test.test-unsigned.example,cold,6110777,2,False,1788804173.229938,
bind,unsigned,test.test-unsigned.example,cold,6596480,2,False,1788804173.2366302,
bind,unsigned,test.test-unsigned.example,cold,4690891,2,False,1788804173.2414768,
bind,unsigned,test.test-unsigned.example,cold,6021374,2,False,1788804173.2476017,
bind,unsigned,test.test-unsigned.example,cold,8424326,2,False,1788804173.2561479,
bind,unsigned,test.test-unsigned.example,cold,5492964,2,False,1788804173.261817,
bind,unsigned,test.test-unsigned.example,cold,6223003,2,False,1788804173.2681367,
