resolver,outcome,domain,cache_state,query_time_ns,response_rcode,ad_flag,timestamp,error
unbound,bogus,test.test-bogus.example,cold,829602,2,False,1788804260.5505955,
unbound,bogus,test.test-bogus.example,cold,582206,2,False,1788804260.5512488,
unbound,bogus,test.test-bogus.example,cold,843404,2,False,1788804260.5521533,
unbound,bogus,test.test-bogus.example,cold,925181,2,False,1788804260.553143,
unbound,bogus,test.test-bogus.example,cold,581596,2,False,1788804260.5537913,
unbound,bogus,test.test-bogus.example,cold,547278,2,False,1788804260.5543993,
unbound,bogus,test.test-bogus.example,cold,717932,2,False,1788804260.5551772,
unbound,bogus,test.test-bogus.example,cold,828044,2,False,1788804260.5560691,
unbound,bogus,test.test-bogus.example,cold,733115,2,False,1788804260.556865,
unbound,bogus,test.test-bogus.example,cold,1103761,2,False,1788804260.5580676,
unbound,bogus,test.test-bogus.example,cold,1257895,2,False,1788804260.559432,
unbound,bogus,test.test-bogus.example,cold,1099199,2,False,1788804260.5606143,
unbound,bogus,test.test-bogus.example,cold,752641,2,False,1788804260.561429,
unbound,bogus,test.test-bogus.example,cold,1058028,2,False,1788804260.562553,
unbound,bogus,test.test-bogus.example,cold,769233,2,False,1788804260.563403,
unbound,bogus,test.test-bogus.example,cold,1007919,2,False,1788804260.564473,
unbound,bogus,test.test-bogus.example,cold,717448,2,False,1788804260.565257,
unbound,bogus,test.test-bogus.example,cold,536363,2,False,1788804260.565855,
unbound,bogus,test.test-bogus.example,cold,623923,2,False,1788804260.5665603,
unbound,bogus,test.test-bogus.example,cold,1010084,2,False,1788804260.5676389,
unbound,bogus,test.test-bogus.example,cold,731676,2,False,1788804260.568448,
unbound,bogus,test.test-bogus.example,cold,749473,2,False,1788804260.5692635,
unbound,bogus,test.test-bogus.example,cold,858527,2,False,1788804260.5702868,
unbound,bogus,test.test-bogus.example,cold,999844,2,False,1788804260.5713696,
unbound,bogus,test.test-bogus.example,cold,714297,2,False,1788804260.5722666,
unbound,bogus,test.test-bogus.example,cold,677223,2,False,1788804260.5730145,
unbound,bogus,test.test-bogus.example,cold,673606,2,False,1788804260.5737634,
unbound,bogus,test.test-bogus.example,cold,760538,2,False,1788804260.574583,
unbound,bogus,test.test-bogus.example,cold,705822,2,False,1788804260.5753543,
unbound,bogus,test.test-bogus.example,cold,963395,2,False,1788804260.5765848,
unbound,bogus,test.test-bogus.example,cold,841066,2,False,1788804260.5775356,
unbound,bogus,test.test-bogus.example,cold,731061,2,False,1788804260.5783503,
unbound,bogus,test.test-bogus.example,cold,890211,2,False,1788804260.5795133,
unbound,bogus,test.test-bogus.example,cold,2260896,2,False,1788804260.5818636,
unbound,bogus,test.test-bogus.example,cold,1586512,2,False,1788804260.583557,
unbound,bogus,test.test-bogus.example,cold,806891,2,False,1788804260.584449,
unbound,bogus,test.test-bogus.example,cold,584291,2,False,1788804260.5851228,
unbound,bogus,test.test-bogus.example,cold,799218,2,False,1788804260.5860617,
unbound,bogus,test.test-bogus.example,cold,1994417,2,False,1788804260.5881274,
unbound,bogus,test.test-bogus.example,cold,1036579,2,False,1788804260.5892682,
unbound,bogus,test.test-bogus.example,cold,893189,2,False,1788804260.5902865,
unbound,bogus,test.test-bogus.example,cold,844884,2,False,1788804260.5912044,
unbound,bogus,test.test-bogus.example,cold,783767,2,False,1788804260.5920832,
unbound,bogus,test.test-bogus.example,cold,1066204,2,False,1788804260.5932302,
unbound,bogus,test.test-bogus.example,cold,682815,2,False,1788804260.5939791,
unbound,bogus,test.test-bogus.example,cold,636460,2,False,1788804260.5946805,
unbound,bogus,test.test-bogus.example,cold,715842,2,False,1788804260.5954611,
unbound,bogus,test.test-bogus.example,cold,734559,2,False,1788804260.5962522,
unbound,bogus,test.test-bogus.example,cold,560877,2,False,1788804260.5968657,
unbound,bogus,test.test-bogus.example,cold,960533,2,False,1788804260.5978863,
