resolver,outcome,domain,cache_state,query_time_ns,response_rcode,ad_flag,timestamp,error
unbound,expired,test.test-expired.example,cold,3682400,2,False,1788804274.9364336,
unbound,expired,test.test-expired.example,cold,3494788,2,False,1788804274.9400108,
unbound,expired,test.test-expired.example,cold,2991766,2,False,1788804274.9430757,
unbound,expired,test.test-expired.example,cold,3209694,2,False,1788804274.9463634,
unbound,expired,test.test-expired.example,cold,3098665,2,False,1788804274.9495242,
unbound,expired,test.test-expired.example,cold,2847072,2,False,1788804274.952448,
unbound,expired,test.test-expired.example,cold,3979583,2,False,1788804274.956492,
unbound,expired,test.test-expired.example,cold,4095738,2,False,1788804274.9606814,
unbound,expired,test.test-expired.example,cold,3768000,2,False,1788804274.9645438,
unbound,expired,test.test-expired.example,cold,3143989,2,False,1788804274.9677618,
unbound,expired,test.test-expired.example,cold,3285653,2,False,1788804274.9711215,
unbound,expired,test.test-expired.example,cold,4184810,2,False,1788804274.9753757,
unbound,expired,test.test-expired.example,cold,4057372,2,False,1788804274.9795108,
unbound,expired,test.test-expired.example,cold,3185093,2,False,1788804274.9827738,
unbound,expired,test.test-expired.example,cold,3049492,2,False,1788804274.9858935,
unbound,expired,test.test-expired.example,cold,3276200,2,False,1788804274.989234,
unbound,expired,test.test-expired.example,cold,3650952,2,False,1788804274.9929652,
unbound,expired,test.test-expired.example,cold,3946991,2,False,1788804274.9969914,
unbound,expired,test.test-expired.example,cold,3180877,2,False,1788804275.0002522,
unbound,expired,test.test-expired.example,cold,3102771,2,False,1788804275.0034273,
unbound,expired,test.test-expired.example,cold,3415186,2,False,1788804275.0069232,
unbound,expired,test.test-expired.example,cold,4068456,2,False,1788804275.0110688,
unbound,expired,test.test-expired.example,cold,3061894,2,False,1788804275.014199,
unbound,expired,test.test-expired.example,cold,2976314,2,False,1788804275.01726,
unbound,expired,test.test-expired.example,cold,3180984,2,False,1788804275.0205197,
unbound,expired,test.test-expired.example,cold,2982230,2,False,1788804275.023582,
unbound,expired,test.test-expired.example,cold,3397787,2,False,1788804275.0270574,
unbound,expired,test.test-expired.example,cold,3229845,2,False,1788804275.0303583,
unbound,expired,test.test-expired.example,cold,3439430,2,False,1788804275.033881,
unbound,expired,test.test-expired.example,cold,3767408,2,False,1788804275.0377233,
unbound,expired,test.test-expired.example,cold,4074694,2,False,1788804275.0418842,
unbound,expired,test.test-expired.example,cold,3212240,2,False,1788804275.045164,
unbound,expired,test.test-expired.example,cold,3018458,2,False,1788804275.0482597,
unbound,expired,test.test-expired.example,cold,3194264,2,False,1788804275.0515313,
unbound,expired,test.test-expired.example,cold,3717377,2,False,1788804275.0553164,
unbound,expired,test.test-expired.example,cold,3296174,2,False,1788804275.0586848,
unbound,expired,test.test-expired.example,cold,3151291,2,False,1788804275.0619056,
unbound,expired,test.test-expired.example,cold,3152303,2,False,1788804275.0651193,
unbound,expired,test.test-expired.example,cold,3031572,2,False,1788804275.068207,
unbound,expired,test.test-expired.example,cold,3196989,2,False,1788804275.0714812,
unbound,expired,test.test-expired.example,cold,3521941,2,False,1788804275.0750844,
unbound,expired,test.test-expired.example,cold,2913615,2,False,1788804275.078077,
unbound,expired,test.test-expired.example,cold,3000579,2,False,1788804275.0811474,
unbound,expired,test.test-expired.example,cold,3305704,2,False,1788804275.0845156,
unbound,expired,test.test-expired.example,cold,4625013,2,False,1788804275.0892045,
unbound,expired,test.test-expired.example,cold,3376773,2,False,1788804275.0926561,
unbound,expired,test.test-expired.example,cold,3200308,2,False,1788804275.0959344,
unbound,expired,test.test-expired.example,cold,2993550,2,False,1788804275.0990067,
unbound,expired,test.test-expired.example,cold,3281362,2,False,1788804275.102349,
unbound,expired,test.test-expired.example,cold,3479325,2,False,1788804275.1059105,
unbound,expired,test.test-expired.example,cold,3583746,2,False,1788804275.1095586,
unbound,expired,test.test-expired.example,cold,3098653,2,False,1788804275.1127405,
unbound,expired,test.test-expired.example,cold,3314198,2,False,1788804275.116122,
unbound,expired,test.test-expired.example,cold,4051268,2,False,1788804275.1202593,
unbound,expired,test.test-expired.example,cold,3938128,2,False,1788804275.124272,
unbound,expired,test.test-expired.example,cold,3723621,2,False,1788804275.128081,
unbound,expired,test.test-expired.example,cold,3556669,2,False,1788804275.1317084,
unbound,expired,test.test-expired.example,cold,5682174,2,False,1788804275.1374867,
unbound,expired,test.test-expired.example,cold,3594059,2,False,1788804275.1411624,
unbound,expired,test.test-expired.example,cold,3454100,2,False,1788804275.1447098,
unbound,expired,test.test-expired.example,cold,3650980,2,False,1788804275.148447,
unbound,expired,test.test-expired.example,cold,3038784,2,False,1788804275.1515853,
unbound,expired,test.test-expired.example,cold,3176022,2,False,1788804275.1548254,
unbound,expired,test.test-expired.example,cold,2947789,2,False,1788804275.1578445,
unbound,expired,test.test-expired.example,cold,2944260,2,False,1788804275.1608527,
unbound,expired,test.test-expired.example,cold,2972659,2,False,1788804275.1638935,
unbound,expired,test.test-expired.example,cold,3710908,2,False,1788804275.1676674,
unbound,expired,test.test-expired.example,cold,3465865,2,False,1788804275.1712155,
unbound,expired,test.test-expired.example,cold,3678805,2,False,1788804275.1749737,
unbound,expired,test.test-expired.example,cold,3001775,2,False,1788804275.1780462,
unbound,expired,test.test-expired.example,cold,3237042,2,False,1788804275.1813664,
unbound,expired,test.test-expired.example,cold,3034107,2,False,1788804275.1844852,
unbound,expired,test.test-expired.example,cold,3693670,2,False,1788804275.1882732,
unbound,expired,test.test-expired.example,cold,3126287,2,False,1788804275.191476,
unbound,expired,test.test-expired.example,cold,5231278,2,False,1788804275.1967733,
unbound,expired,test.test-expired.example,cold,5810949,2,False,1788804275.2026665,
unbound,expired,test.test-expired.example,cold,6058463,2,False,1788804275.2088454,
unbound,expired,test.test-expired.example,cold,4360955,2,False,1788804275.2132988,
unbound,expired,test.test-expired.example,cold,5938806,2,False,1788804275.2193265,
unbound,expired,test.test-expired.example,cold,3796032,2,False,1788804275.2232296,
unbound,expired,test.test-expired.example,cold,4531073,2,False,1788804275.2278469,
unbound,expired,test.test-expired.example,cold,5233413,2,False,1788804275.233217,
unbound,expired,test.test-expired.example,cold,4020958,2,False,1788804275.2373483,
unbound,expired,test.test-expired.example,cold,4320853,2,False,1788804275.2417588,
unbound,expired,test.test-expired.example,cold,4199641,2,False,1788804275.2461154,
unbound,expired,test.test-expired.example,cold,3622926,2,False,1788804275.249819,
unbound,expired,test.test-expired.example,cold,3031564,2,False,1788804275.2529206,
unbound,expired,test.test-expired.example,cold,4052965,2,False,1788804275.2570395,
unbound,expired,test.test-expired.example,cold,3138944,2,False,1788804275.2602448,
unbound,expired,test.test-expired.example,cold,2897267,2,False,1788804275.2631972,
unbound,expired,test.test-expired.example,cold,2929377,2,False,1788804275.266195,
unbound,expired,test.test-expired.example,cold,3005053,2,False,1788804275.2692645,
unbound,expired,test.test-expired.example,cold,3149233,2,False,1788804275.272481,
unbound,expired,test.test-expired.example,cold,4045791,2,False,1788804275.276608,
unbound,expired,test.test-expired.example,cold,5298277,2,False,1788804275.2819982,
unbound,expired,test.test-expired.example,cold,3457062,2,False,1788804275.2855344,
unbound,expired,test.test-expired.example,cold,3158441,2,False,1788804275.2887583,
unbound,expired,test.test-expired.example,cold,3117629,2,False,1788804275.2919545,
unbound,expired,test.test-expired.example,cold,3083084,2,False,1788804275.2951171,
unbound,expired,test.test-expired.example,cold,3317704,2,False,1788804275.298509,
unbound,expired,test.test-expired.example,cold,3170854,2,False,1788804275.3017585,
unbound,expired,test.test-expired.example,cold,2903462,2,False,1788804275.3047378,
unbound,expired,test.test-expired.example,cold,3380316,2,False,1788804275.3081913,
unbound,expired,test.test-expired.example,cold,3012432,2,False,1788804275.3112783,
unbound,expired,test.test-expired.example,cold,2894199,2,False,1788804275.314246,
unbound,expired,test.test-expired.example,cold,3008015,2,False,1788804275.317324,
unbound,expired,test.test-expired.example,cold,3082906,2,False,1788804275.3204842,
unbound,expired,test.test-expired.example,cold,3126256,2,False,1788804275.3236783,
unbound,expired,test.test-expired.example,cold,3226444,2,False,1788804275.3269656,
unbound,expired,test.test-expired.example,cold,4859781,2,False,1788804275.331898,
unbound,expired,test.test-expired.example,cold,3160938,2,False,1788804275.3351536,
unbound,expired,test.test-expired.example,cold,4413902,2,False,1788804275.339632,
unbound,expired,test.test-expired.example,cold,3733701,2,False,1788804275.343454,
unbound,expired,test.test-expired.example,cold,3718134,2,False,1788804275.3472466,
unbound,expired,test.test-expired.example,cold,3131037,2,False,1788804275.3504572,
unbound,expired,test.test-expired.example,cold,3271077,2,False,1788804275.353799,
unbound,expired,test.test-expired.example,cold,5633029,2,False,1788804275.3595088,
unbound,expired,test.test-expired.example,cold,3976806,2,False,1788804275.3635705,
unbound,expired,test.test-expired.example,cold,3120542,2,False,1788804275.3667645,
unbound,expired,test.test-expired.example,cold,3284646,2,False,1788804275.3701231,
unbound,expired,test.test-expired.example,cold,3179706,2,False,1788804275.373358,
unbound,expired,test.test-expired.example,cold,3181625,2,False,1788804275.3766074,
unbound,expired,test.test-expired.example,cold,4338751,2,False,1788804275.3810282,
unbound,expired,test.test-expired.example,cold,4414841,2,False,1788804275.3855157,
unbound,expired,test.test-expired.example,cold,2994637,2,False,1788804275.3885841,
unbound,expired,test.test-expired.example,cold,3262370,2,False,1788804275.3919096,
unbound,expired,test.test-expired.example,cold,3133460,2,False,1788804275.395121,
unbound,expired,test.test-expired.example,cold,4419720,2,False,1788804275.3996139,
unbound,expired,test.test-expired.example,cold,3040834,2,False,1788804275.4027147,
unbound,expired,test.test-expired.example,cold,3009913,2,False,1788804275.405799,
unbound,expired,test.test-expired.example,cold,3247071,2,False,1788804275.4091175,
unbound,expired,test.test-expired.example,cold,4202125,2,False,1788804275.4133892,
unbound,expired,test.test-expired.example,cold,3270514,2,False,1788804275.4167433,
unbound,expired,test.test-expired.example,cold,4580912,2,False,1788804275.421411,
unbound,expired,test.test-expired.example,cold,3817998,2,False,1788804275.4253151,
unbound,expired,test.test-expired.example,cold,3190373,2,False,1788804275.4285808,
unbound,expired,test.test-expired.example,cold,3045797,2,False,1788804275.4317017,
unbound,expired,test.test-expired.example,cold,3221283,2,False,1788804275.434988,
unbound,expired,test.test-expired.example,cold,3410639,2,False,1788804275.438487,
unbound,expired,test.test-expired.example,cold,3170006,2,False,1788804275.4417372,
unbound,expired,test.test-expired.example,cold,2928897,2,False,1788804275.444759,
unbound,expired,test.test-expired.example,cold,3067074,2,False,1788804275.4479063,
unbound,expired,test.test-expired.example,cold,3038378,2,False,1788804275.4510112,
unbound,expired,test.test-expired.example,cold,3194146,2,False,1788804275.4542825,
unbound,expired,test.test-expired.example,cold,3353016,2,False,1788804275.4577124,
unbound,expired,test.test-expired.example,cold,3399823,2,False,1788804275.4611983,
unbound,expired,test.test-expired.example,cold,3255156,2,False,1788804275.4645128,
unbound,expired,test.test-expired.example,cold,3061090,2,False,1788804275.4676492,
unbound,expired,test.test-expired.example,cold,3021183,2,False,1788804275.470728,
unbound,expired,test.test-expired.example,cold,3224281,2,False,1788804275.4740317,
unbound,expired,test.test-expired.example,cold,3234225,2,False,1788804275.4773452,
unbound,expired,test.test-expired.example,cold,3018069,2,False,1788804275.480446,
unbound,expired,test.test-expired.example,cold,2964218,2,False,1788804275.4834995,
unbound,expired,test.test-expired.example,cold,3184007,2,False,1788804275.4867547,
unbound,expired,test.test-expired.example,cold,3713355,2,False,1788804275.4905524,
unbound,expired,test.test-expired.example,cold,3146897,2,False,1788804275.493786,
unbound,expired,test.test-expired.example,cold,3003692,2,False,1788804275.496868,
unbound,expired,test.test-expired.example,cold,3190596,2,False,1788804275.500121,
unbound,expired,test.test-expired.example,cold,3117741,2,False,1788804275.5032947,
unbound,expired,test.test-expired.example,cold,3044426,2,False,1788804275.5063949,
unbound,expired,test.test-expired.example,cold,3385987,2,False,1788804275.5098543,
unbound,expired,test.test-expired.example,cold,3034021,2,False,1788804275.5129762,
unbound,expired,test.test-expired.example,cold,3617051,2,False,1788804275.5166566,
unbound,expired,test.test-expired.example,cold,7781308,2,False,1788804275.5245266,
unbound,expired,test.test-expired.example,cold,3142398,2,False,1788804275.527754,
unbound,expired,test.test-expired.example,cold,3126880,2,False,1788804275.5309494,
unbound,expired,test.test-expired.example,cold,3667473,2,False,1788804275.5346968,
unbound,expired,test.test-expired.example,cold,5024745,2,False,1788804275.5398006,
unbound,expired,test.test-expired.example,cold,5146563,2,False,1788804275.5450165,
unbound,expired,test.test-expired.example,cold,4994541,2,False,1788804275.5502925,
unbound,expired,test.test-expired.example,cold,4444663,2,False,1788804275.5548363,
unbound,expired,test.test-expired.example,cold,3662206,2,False,1788804275.558584,
unbound,expired,test.test-expired.example,cold,2968979,2,False,1788804275.56162,
unbound,expired,test.test-expired.example,cold,3080356,2,False,1788804275.5647898,
unbound,expired,test.test-expired.example,cold,3260187,2,False,1788804275.5681186,
unbound,expired,test.test-expired.example,cold,3749677,2,False,1788804275.5719907,
unbound,expired,test.test-expired.example,cold,3328997,2,False,1788804275.5753894,
unbound,expired,test.test-expired.example,cold,3210605,2,False,1788804275.5786834,
unbound,expired,test.test-expired.example,cold,2986877,2,False,1788804275.5817266,
unbound,expired,test.test-expired.example,cold,3238587,2,False,1788804275.5850391,
unbound,expired,test.test-expired.example,cold,3103494,2,False,1788804275.5882022,
unbound,expired,test.test-expired.example,cold,3264299,2,False,1788804275.591556,
unbound,expired,test.test-expired.example,cold,3098057,2,False,1788804275.5947425,
unbound,expired,test.test-expired.example,cold,3395651,2,False,1788804275.598222,
unbound,expired,test.test-expired.example,cold,3114273,2,False,1788804275.6014,
unbound,expired,test.test-expired.example,cold,3457020,2,False,1788804275.6049287,
unbound,expired,test.test-expired.example,cold,3374290,2,False,1788804275.6083755,
unbound,expired,test.test-expired.example,cold,3061459,2,False,1788804275.6115282,
unbound,expired,test.test-expired.example,cold,3131107,2,False,1788804275.6147404,
unbound,expired,test.test-expired.example,cold,5248289,2,False,1788804275.6200523,
unbound,expired,test.test-expired.example,cold,3563861,2,False,1788804275.6236823,
unbound,expired,test.test-expired.example,cold,3195177,2,False,1788804275.6269543,
unbound,expired,test.test-expired.example,cold,3000954,2,False,1788804275.6300333,
unbound,expired,test.test-expired.example,cold,3234432,2,False,1788804275.6333435,
unbound,expired,test.test-expired.example,cold,3051044,2,False,1788804275.6364608,
unbound,expired,test.test-expired.example,cold,3191036,2,False,1788804275.6397364,
unbound,expired,test.test-expired.example,cold,3062480,2,False,1788804275.6428697,
unbound,expired,test.test-expired.example,cold,3149830,2,False,1788804275.6460853,
unbound,expired,test.test-expired.example,cold,3526794,2,False,1788804275.6496897,
unbound,expired,test.test-expired.example,cold,3137594,2,False,1788804275.652926,
unbound,expired,test.test-expired.example,cold,2959070,2,False,1788804275.6559608,
unbound,expired,test.test-expired.example,cold,3699270,2,False,1788804275.6597424,
unbound,expired,test.test-expired.example,cold,3253196,2,False,1788804275.6630754,
unbound,expired,test.test-expired.example,cold,4152085,2,False,1788804275.6673048,
unbound,expired,test.test-expired.example,cold,3131474,2,False,1788804275.6705031,
unbound,expired,test.test-expired.example,cold,2936600,2,False,1788804275.6734946,
unbound,expired,test.test-expired.example,cold,3839515,2,False,1788804275.677401,
unbound,expired,test.test-expired.example,cold,3762473,2,False,1788804275.6812444,
unbound,expired,test.test-expired.example,cold,3472647,2,False,1788804275.684802,
unbound,expired,test.test-expired.example,cold,3318759,2,False,1788804275.6881857,
unbound,expired,test.test-expired.example,cold,3056826,2,False,1788804275.6913044,
unbound,expired,test.test-expired.example,cold,3184898,2,False,1788804275.6945617,
unbound,expired,test.test-expired.example,cold,3763337,2,False,1788804275.698394,
unbound,expired,test.test-expired.example,cold,3805148,2,False,1788804275.7022872,
unbound,expired,test.test-expired.example,cold,3229035,2,False,1788804275.7056017,
unbound,expired,test.test-expired.example,cold,2978399,2,False,1788804275.7086573,
unbound,expired,test.test-expired.example,cold,3013451,2,False,1788804275.7117443,
unbound,expired,test.test-expired.example,cold,3428952,2,False,1788804275.7152479,
unbound,expired,test.test-expired.example,cold,2997328,2,False,1788804275.7183259,
unbound,expired,test.test-expired.example,cold,3389732,2,False,1788804275.7217937,
unbound,expired,test.test-expired.example,cold,2972538,2,False,1788804275.724829,
unbound,expired,test.test-expired.example,cold,3680149,2,False,1788804275.7285721,
unbound,expired,test.test-expired.example,cold,3227354,2,False,1788804275.7318876,
unbound,expired,test.test-expired.example,cold,3175954,2,False,1788804275.735143,
unbound,expired,test.test-expired.example,cold,3146652,2,False,1788804275.7383626,
unbound,expired,test.test-expired.example,cold,3220017,2,False,1788804275.7416685,
unbound,expired,test.test-expired.example,cold,3327180,2,False,1788804275.7450676,
unbound,expired,test.test-expired.example,cold,3105598,2,False,1788804275.748234,
unbound,expired,test.test-expired.example,cold,3011442,2,False,1788804275.7513263,
unbound,expired,test.test-expired.example,cold,3078863,2,False,1788804275.7544765,
unbound,expired,test.test-expired.example,cold,6194308,2,False,1788804275.7607496,
unbound,expired,test.test-expired.example,cold,4135733,2,False,1788804275.764969,
unbound,expired,test.test-expired.example,cold,3031748,2,False,1788804275.7680616,
unbound,expired,test.test-expired.example,cold,3351307,2,False,1788804275.771497,
unbound,expired,test.test-expired.example,cold,3132226,2,False,1788804275.7747087,
unbound,expired,test.test-expired.example,cold,3721602,2,False,1788804275.7785277,
unbound,expired,test.test-expired.example,cold,3033073,2,False,1788804275.7816236,
unbound,expired,test.test-expired.example,cold,2975158,2,False,1788804275.7846732,
unbound,expired,test.test-expired.example,cold,3144214,2,False,1788804275.7878788,
unbound,expired,test.test-expired.example,cold,3227051,2,False,1788804275.7911847,
unbound,expired,test.test-expired.example,cold,4460224,2,False,1788804275.7957447,
unbound,expired,test.test-expired.example,cold,4138664,2,False,1788804275.7999537,
unbound,expired,test.test-expired.example,cold,3891197,2,False,1788804275.8039246,
unbound,expired,test.test-expired.example,cold,5253555,2,False,1788804275.809245,
unbound,expired,test.test-expired.example,cold,3327300,2,False,1788804275.812636,
unbound,expired,test.test-expired.example,cold,3118407,2,False,1788804275.815825,
unbound,expired,test.test-expired.example,cold,3181334,2,False,1788804275.8190799,
unbound,expired,test.test-expired.example,cold,3022639,2,False,1788804275.822158,
unbound,expired,test.test-expired.example,cold,3466182,2,False,1788804275.825703,
unbound,expired,test.test-expired.example,cold,3411933,2,False,1788804275.8291817,
unbound,expired,test.test-expired.example,cold,2930622,2,False,1788804275.832181,
unbound,expired,test.test-expired.example,cold,3325936,2,False,1788804275.8355856,
unbound,expired,test.test-expired.example,cold,5274427,2,False,1788804275.840954,
unbound,expired,test.test-expired.example,cold,4288288,2,False,1788804275.84533,
unbound,expired,test.test-expired.example,cold,3282695,2,False,1788804275.8488555,
unbound,expired,test.test-expired.example,cold,3212474,2,False,1788804275.8521428,
unbound,expired,test.test-expired.example,cold,3274971,2,False,1788804275.8554928,
unbound,expired,test.test-expired.example,cold,3483314,2,False,1788804275.8590696,
unbound,expired,test.test-expired.example,cold,4127240,2,False,1788804275.8632698,
unbound,expired,test.test-expired.example,cold,3021299,2,False,1788804275.8663595,
unbound,expired,test.test-expired.example,cold,3444231,2,False,1788804275.8698845,
unbound,expired,test.test-expired.example,cold,3033488,2,False,1788804275.872993,
unbound,expired,test.test-expired.example,cold,3068029,2,False,1788804275.8761277,
