resolver,outcome,domain,cache_state,query_time_ns,response_rcode,ad_flag,timestamp,error
unbound,nsec3,nonexistent.test-nsec3.example,cold,4322018,3,True,1788804298.5404022,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4848936,3,True,1788804298.5453436,
unbound,nsec3,nonexistent.test-nsec3.example,cold,8322859,3,True,1788804298.5537643,
unbound,nsec3,nonexistent.test-nsec3.example,cold,5195243,3,True,1788804298.5590415,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4359127,3,True,1788804298.5634637,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4191765,3,True,1788804298.5677552,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4429372,3,True,1788804298.5722756,
unbound,nsec3,nonexistent.test-nsec3.example,cold,5207292,3,True,1788804298.5775454,
unbound,nsec3,nonexistent.test-nsec3.example,cold,5429324,3,True,1788804298.5830457,
unbound,nsec3,nonexistent.test-nsec3.example,cold,3671982,3,True,1788804298.586785,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4512884,3,True,1788804298.5913827,
unbound,nsec3,nonexistent.test-nsec3.example,cold,5792377,3,True,1788804298.5972636,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4134348,3,True,1788804298.601487,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4524702,3,True,1788804298.6060975,
unbound,nsec3,nonexistent.test-nsec3.example,cold,11643805,3,True,1788804298.6178248,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4261326,3,True,1788804298.6221817,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4505111,3,True,1788804298.626793,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4873710,3,True,1788804298.631756,
unbound,nsec3,nonexistent.test-nsec3.example,cold,6364559,3,True,1788804298.6382148,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4027164,3,True,1788804298.6423254,
unbound,nsec3,nonexistent.test-nsec3.example,cold,3921403,3,True,1788804298.6463342,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4449756,3,True,1788804298.6508627,
unbound,nsec3,nonexistent.test-nsec3.example,cold,5008963,3,True,1788804298.6559627,
unbound,nsec3,nonexistent.test-nsec3.example,cold,5220677,3,True,1788804298.661282,
unbound,nsec3,nonexistent.test-nsec3.example,cold,5650752,3,True,1788804298.6670313,
unbound,nsec3,nonexistent.test-nsec3.example,cold,9875998,3,True,1788804298.6769922,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4777074,3,True,1788804298.6821396,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4122372,3,True,1788804298.6863248,
unbound,nsec3,nonexistent.test-nsec3.example,cold,6178080,3,True,1788804298.6925924,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4057596,3,True,1788804298.6967285,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4738847,3,True,1788804298.7015343,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4199114,3,True,1788804298.7058163,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4160013,3,True,1788804298.710052,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4560505,3,True,1788804298.714799,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4064769,3,True,1788804298.718979,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4312278,3,True,1788804298.7234027,
unbound,nsec3,nonexistent.test-nsec3.example,cold,3844060,3,True,1788804298.7273285,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4067015,3,True,1788804298.7314975,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4433978,3,True,1788804298.7360177,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4285519,3,True,1788804298.74038,
unbound,nsec3,nonexistent.test-nsec3.example,cold,7613398,3,True,1788804298.7480843,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4747013,3,True,1788804298.7530367,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4056706,3,True,1788804298.7571764,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4214610,3,True,1788804298.7614691,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4012327,3,True,1788804298.7655716,
unbound,nsec3,nonexistent.test-nsec3.example,cold,5241567,3,True,1788804298.7709088,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4273082,3,True,1788804298.7752712,
unbound,nsec3,nonexistent.test-nsec3.example,cold,3810167,3,True,1788804298.7791753,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4586359,3,True,1788804298.7838545,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4928372,3,True,1788804298.7888694,
unbound,nsec3,nonexistent.test-nsec3.example,cold,6903087,3,True,1788804298.7958677,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4729929,3,True,1788804298.8006728,
unbound,nsec3,nonexistent.test-nsec3.example,cold,6214488,3,True,1788804298.8069842,
unbound,nsec3,nonexistent.test-nsec3.example,cold,5427011,3,True,1788804298.8124819,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4736322,3,True,1788804298.8173978,
unbound,nsec3,nonexistent.test-nsec3.example,cold,5099012,3,True,1788804298.8225832,
unbound,nsec3,nonexistent.test-nsec3.example,cold,6215232,3,True,1788804298.8288922,
unbound,nsec3,nonexistent.test-nsec3.example,cold,5369513,3,True,1788804298.834787,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4695683,3,True,1788804298.839556,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4132043,3,True,1788804298.843783,
unbound,nsec3,nonexistent.test-nsec3.example,cold,5012716,3,True,1788804298.8488832,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4500019,3,True,1788804298.853485,
unbound,nsec3,nonexistent.test-nsec3.example,cold,5145737,3,True,1788804298.858714,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4422970,3,True,1788804298.863217,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4593540,3,True,1788804298.8679037,
unbound,nsec3,nonexistent.test-nsec3.example,cold,6638434,3,True,1788804298.8746314,
unbound,nsec3,nonexistent.test-nsec3.example,cold,5169771,3,True,1788804298.879898,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4086173,3,True,1788804298.8840697,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4605385,3,True,1788804298.8887608,
unbound,nsec3,nonexistent.test-nsec3.example,cold,3893289,3,True,1788804298.892725,
unbound,nsec3,nonexistent.test-nsec3.example,cold,5558755,3,True,1788804298.898353,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4594442,3,True,1788804298.9030323,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4481556,3,True,1788804298.907616,
unbound,nsec3,nonexistent.test-nsec3.example,cold,3645092,3,True,1788804298.911337,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4336356,3,True,1788804298.9157622,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4717221,3,True,1788804298.9205554,
unbound,nsec3,nonexistent.test-nsec3.example,cold,3887441,3,True,1788804298.9245968,
unbound,nsec3,nonexistent.test-nsec3.example,cold,6329924,3,True,1788804298.931008,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4687984,3,True,1788804298.93578,
unbound,nsec3,nonexistent.test-nsec3.example,cold,5319312,3,True,1788804298.9411757,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4530759,3,True,1788804298.9457955,
unbound,nsec3,nonexistent.test-nsec3.example,cold,5331401,3,True,1788804298.9512281,
unbound,nsec3,nonexistent.test-nsec3.example,cold,5555700,3,True,1788804298.9568696,
unbound,nsec3,nonexistent.test-nsec3.example,cold,4364562,3,True,1788804298.9613204,
unbound,nsec3,nonexistent.test-nsec3.example,cold,5950760,3,True,1788804298.9673562,
unbound,nsec3,nonexistent.test-nsec3.example,cold,6411301,3,True,1788804298.973851,
unbound,nsec3,nonexistent.test-nsec3.example,cold,11935537,3,True,1788804298.9863107,
unbound,nsec3,nonexistent.test-nsec3.example,cold,6615034,3,True,1788804298.9930668,
unbound,nsec3,nonexistent.test-nsec3.example,cold,6522194,3,True,1788804298.9997282,
unbound,nsec3,nonexistent.test-nsec3.example,cold,5803169,3,True,1788804299.0056143,
unbound,nsec3,nonexistent.test-nsec3.example,cold,5048778,3,True,1788804299.0107546,
unbound,nsec3,nonexistent.test-nsec3.example,cold,7138559,3,True,1788804299.0180104,
