resolver,outcome,domain,cache_state,query_time_ns,response_rcode,ad_flag,timestamp,error
unbound,unsigned,test.test-unsigned.example,cold,543815,0,False,1788804308.530709,
unbound,unsigned,test.test-unsigned.example,cold,493466,0,False,1788804308.5312421,
unbound,unsigned,test.test-unsigned.example,cold,560815,0,False,1788804308.5318513,
unbound,unsigned,test.test-unsigned.example,cold,716487,0,False,1788804308.5326092,
unbound,unsigned,test.test-unsigned.example,cold,570296,0,False,1788804308.5332255,
unbound,unsigned,test.test-unsigned.example,cold,590254,0,False,1788804308.5338588,
unbound,unsigned,test.test-unsigned.example,cold,538658,0,False,1788804308.534437,
unbound,unsigned,test.test-unsigned.example,cold,590601,0,False,1788804308.5350678,
unbound,unsigned,test.test-unsigned.example,cold,657068,0,False,1788804308.5357997,
unbound,unsigned,test.test-unsigned.example,cold,699186,0,False,1788804308.536541,
unbound,unsigned,test.test-unsigned.example,cold,596779,0,False,1788804308.5371807,
unbound,unsigned,test.test-unsigned.example,cold,545708,0,False,1788804308.5377772,
unbound,unsigned,test.test-unsigned.example,cold,577279,0,False,1788804308.5384047,
unbound,unsigned,test.test-unsigned.example,cold,579783,0,False,1788804308.539023,
unbound,unsigned,test.test-unsigned.example,cold,613694,0,False,1788804308.5396786,
unbound,unsigned,test.test-unsigned.example,cold,604662,0,False,1788804308.5403366,
unbound,unsigned,test.test-unsigned.example,cold,623165,0,False,1788804308.5410159,
unbound,unsigned,test.test-unsigned.example,cold,580565,0,False,1788804308.5416453,
unbound,unsigned,test.test-unsigned.example,cold,683487,0,False,1788804308.5423796,
unbound,unsigned,test.test-unsigned.example,cold,606692,0,False,1788804308.5430293,
unbound,unsigned,test.test-unsigned.example,cold,556483,0,False,1788804308.5436344,
unbound,unsigned,test.test-unsigned.example,cold,511482,0,False,1788804308.544196,
unbound,unsigned,test.test-unsigned.example,cold,528185,0,False,1788804308.5447757,
unbound,unsigned,test.test-unsigned.example,cold,542683,0,False,1788804308.5453575,
unbound,unsigned,test.test-unsigned.example,cold,633163,0,False,1788804308.5460427,
unbound,unsigned,test.test-unsigned.example,cold,564144,0,False,1788804308.5466475,
unbound,unsigned,test.test-unsigned.example,cold,580552,0,False,1788804308.5472791,
unbound,unsigned,test.test-unsigned.example,cold,576227,0,False,1788804308.547895,
unbound,unsigned,test.test-unsigned.example,cold,519657,0,False,1788804308.5484533,
unbound,unsigned,test.test-unsigned.example,cold,596157,0,False,1788804308.5491009,
unbound,unsigned,test.test-unsigned.example,cold,727287,0,False,1788804308.5498803,
unbound,unsigned,test.test-unsigned.example,cold,563702,0,False,1788804308.5504875,
unbound,unsigned,test.test-unsigned.example,cold,618868,0,False,1788804308.5511506,
unbound,unsigned,test.test-unsigned.example,cold,559858,0,False,1788804308.5517642,
unbound,unsigned,test.test-unsigned.example,cold,524423,0,False,1788804308.552337,
unbound,unsigned,test.test-unsigned.example,cold,510255,0,False,1788804308.5528846,
unbound,unsigned,test.test-unsigned.example,cold,565339,0,False,1788804308.5534992,
