resolver,outcome,domain,cache_state,query_time_ns,response_rcode,ad_flag,timestamp,error
bind,bogus,test.test-bogus.example,cold,9511500,2,False,1788706097.5868754,
bind,bogus,test.test-bogus.example,cold,7428700,2,False,1788706097.5943758,
bind,bogus,test.test-bogus.example,cold,3471200,2,False,1788706097.5983179,
bind,bogus,test.test-bogus.example,cold,5333300,2,False,1788706097.6033845,
bind,bogus,test.test-bogus.example,cold,4600800,2,False,1788706097.6082327,
bind,bogus,test.test-bogus.example,cold,2952400,2,False,1788706097.6114802,
bind,bogus,test.test-bogus.example,cold,4427400,2,False,1788706097.615882,
bind,bogus,test.test-bogus.example,cold,2895900,2,False,1788706097.6184444,
bind,bogus,test.test-bogus.example,cold,2803200,2,False,1788706097.621765,
bind,bogus,test.test-bogus.example,cold,2686100,2,False,1788706097.6243968,
bind,bogus,test.test-bogus.example,cold,2757200,2,False,1788706097.6274579,
bind,bogus,test.test-bogus.example,cold,2704000,2,False,1788706097.6299455,
bind,bogus,test.test-bogus.example,cold,3121100,2,False,1788706097.633085,
bind,bogus,test.test-bogus.example,cold,3239200,2,False,1788706097.6368139,
bind,bogus,test.test-bogus.example,cold,2545500,2,False,1788706097.6395214,
bind,bogus,test.test-bogus.example,cold,2813700,2,False,1788706097.6421962,
bind,bogus,test.test-bogus.example,cold,3215600,2,False,1788706097.6454897,
bind,bogus,test.test-bogus.example,cold,2926100,2,False,1788706097.6486282,
bind,bogus,test.test-bogus.example,cold,2676400,2,False,1788706097.6513753,
bind,bogus,test.test-bogus.example,cold,2574900,2,False,1788706097.654048,
bind,bogus,test.test-bogus.example,cold,2461100,2,False,1788706097.6562781,
bind,bogus,test.test-bogus.example,cold,2830300,2,False,1788706097.6591818,
bind,bogus,test.test-bogus.example,cold,2645600,2,False,1788706097.6624022,
bind,bogus,test.test-bogus.example,cold,2846700,2,False,1788706097.665062,
bind,bogus,test.test-bogus.example,cold,2504700,2,False,1788706097.667783,
bind,bogus,test.test-bogus.example,cold,2972400,2,False,1788706097.6709445,
bind,bogus,test.test-bogus.example,cold,2790500,2,False,1788706097.6735208,
bind,bogus,test.test-bogus.example,cold,3407400,2,False,1788706097.6768968,
bind,bogus,test.test-bogus.example,cold,3068600,2,False,1788706097.6800663,
bind,bogus,test.test-bogus.example,cold,2627000,2,False,1788706097.6832533,
bind,bogus,test.test-bogus.example,cold,3074300,2,False,1788706097.685823,
bind,bogus,test.test-bogus.example,cold,3182300,2,False,1788706097.6892903,
bind,bogus,test.test-bogus.example,cold,8147200,2,False,1788706097.6978185,
bind,bogus,test.test-bogus.example,cold,3695800,2,False,1788706097.7014701,
bind,bogus,test.test-bogus.example,cold,6200400,2,False,1788706097.7079291,
bind,bogus,test.test-bogus.example,cold,3720600,2,False,1788706097.7115943,
bind,bogus,test.test-bogus.example,cold,3137100,2,False,1788706097.7147136,
bind,bogus,test.test-bogus.example,cold,3536900,2,False,1788706097.7185571,
bind,bogus,test.test-bogus.example,cold,3486100,2,False,1788706097.7219849,
bind,bogus,test.test-bogus.example,cold,3205100,2,False,1788706097.7253976,
bind,bogus,test.test-bogus.example,cold,2540900,2,False,1788706097.728004,
bind,bogus,test.test-bogus.example,cold,2719100,2,False,1788706097.7306123,
bind,bogus,test.test-bogus.example,cold,2845700,2,False,1788706097.733763,
bind,bogus,test.test-bogus.example,cold,2965700,2,False,1788706097.7369282,
bind,bogus,test.test-bogus.example,cold,2763600,2,False,1788706097.739376,
bind,bogus,test.test-bogus.example,cold,2797800,2,False,1788706097.7422674,
bind,bogus,test.test-bogus.example,cold,2783100,2,False,1788706097.7454355,
bind,bogus,test.test-bogus.example,cold,2520200,2,False,1788706097.7480624,
bind,bogus,test.test-bogus.example,cold,2600300,2,False,1788706097.7507327,
bind,bogus,test.test-bogus.example,cold,3013200,2,False,1788706097.7536197,
bind,bogus,test.test-bogus.example,cold,2677800,2,False,1788706097.7563403,
bind,bogus,test.test-bogus.example,cold,3153300,2,False,1788706097.7595937,
bind,bogus,test.test-bogus.example,cold,2430600,2,False,1788706097.7622666,
bind,bogus,test.test-bogus.example,cold,2606900,2,False,1788706097.7649024,
bind,bogus,test.test-bogus.example,cold,8481300,2,False,1788706097.773252,
bind,bogus,test.test-bogus.example,cold,4087800,2,False,1788706097.777889,
bind,bogus,test.test-bogus.example,cold,2591100,2,False,1788706097.7805266,
bind,bogus,test.test-bogus.example,cold,2549200,2,False,1788706097.783199,
